==13374== NVPROF is profiling process 13374, command: ./encryptApp
==13374== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==13374== Profiling application: ./encryptApp
==13374== Profiling result:
==13374== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA Tegra X1 (0)"
    Kernel: diffusionKernel(unsigned char*, unsigned char*, unsigned char const *, int, int, int, int, int, unsigned char*)
          1                             sm_efficiency                                               Multiprocessor Activity     100.00%     100.00%     100.00%
          1                        achieved_occupancy                                                    Achieved Occupancy    0.326668    0.326668    0.326668
          1                                       ipc                                                          Executed IPC    1.455893    1.455893    1.455893
          1                                issued_ipc                                                            Issued IPC    1.455145    1.455145    1.455145
          1                             inst_per_warp                                                 Instructions per warp  6.4599e+04  6.4599e+04  6.4599e+04
          1                         branch_efficiency                                                     Branch Efficiency     100.00%     100.00%     100.00%
          1                 warp_execution_efficiency                                             Warp Execution Efficiency       3.12%       3.12%       3.12%
          1         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency       2.94%       2.94%       2.94%
          1                      inst_replay_overhead                                           Instruction Replay Overhead    0.000016    0.000016    0.000016
          1                    issue_slot_utilization                                                Issue Slot Utilization      34.59%      34.59%      34.59%
          1      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1       local_load_transactions_per_request                            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1              gst_transactions_per_request                                 Global Store Transactions Per Request    0.970625    0.970625    0.970625
          1                 shared_store_transactions                                             Shared Store Transactions           0           0           0
          1                  shared_load_transactions                                              Shared Load Transactions           0           0           0
          1                   local_load_transactions                                               Local Load Transactions           0           0           0
          1                  local_store_transactions                                              Local Store Transactions           0           0           0
          1                          gst_transactions                                             Global Store Transactions     2765700     2765700     2765700
          1                           global_hit_rate                                     Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
          1                            local_hit_rate                                                        Local Hit Rate       0.00%       0.00%       0.00%
          1                  gld_requested_throughput                                      Requested Global Load Throughput  181.09MB/s  181.09MB/s  181.09MB/s
          1                  gst_requested_throughput                                     Requested Global Store Throughput  60.395MB/s  60.395MB/s  60.395MB/s
          1                            gld_throughput                                                Global Load Throughput  5.6590GB/s  5.6590GB/s  5.6590GB/s
          1                            gst_throughput                                               Global Store Throughput  1.8874GB/s  1.8874GB/s  1.8874GB/s
          1                      tex_cache_throughput                                              Unified Cache Throughput  5.6590GB/s  5.6590GB/s  5.6590GB/s
          1                     local_load_throughput                                          Local Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                    local_store_throughput                                         Local Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                    shared_load_throughput                                         Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   shared_store_throughput                                        Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                            gld_efficiency                                         Global Memory Load Efficiency       3.12%       3.12%       3.12%
          1                            gst_efficiency                                        Global Memory Store Efficiency       3.12%       3.12%       3.12%
