==1109== NVPROF is profiling process 1109, command: ./encryptApp
==1109== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==1109== Profiling application: ./encryptApp
==1109== Profiling result:
==1109== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA Tegra X1 (0)"
    Kernel: diffusionKernel(unsigned char*, unsigned char*, unsigned char*, int, int, int, int, int, unsigned char*)
          1                             sm_efficiency                                               Multiprocessor Activity      96.67%      96.67%      96.67%
          1                        achieved_occupancy                                                    Achieved Occupancy    0.994841    0.994841    0.994841
          1                                       ipc                                                          Executed IPC    0.418034    0.418034    0.418034
          1                                issued_ipc                                                            Issued IPC    0.426759    0.426759    0.426759
          1                             inst_per_warp                                                 Instructions per warp  7.4441e+03  7.4441e+03  7.4441e+03
          1                         branch_efficiency                                                     Branch Efficiency      99.87%      99.87%      99.87%
          1                 warp_execution_efficiency                                             Warp Execution Efficiency      99.09%      99.09%      99.09%
          1         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency      98.26%      98.26%      98.26%
          1                      inst_replay_overhead                                           Instruction Replay Overhead    0.000082    0.000082    0.000082
          1                    issue_slot_utilization                                                Issue Slot Utilization       8.80%       8.80%       8.80%
          1      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    1.000000    1.000000    1.000000
          1     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    1.000000    1.000000    1.000000
          1       local_load_transactions_per_request                            Local Memory Load Transactions Per Request    7.949033    7.949033    7.949033
          1      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    4.073394    4.073394    4.073394
          1              gst_transactions_per_request                                 Global Store Transactions Per Request   30.939130   30.939130   30.939130
          1                 shared_store_transactions                                             Shared Store Transactions       86400       86400       86400
          1                  shared_load_transactions                                              Shared Load Transactions       86400       86400       86400
          1                   local_load_transactions                                               Local Load Transactions   130262400   130262400   130262400
          1                  local_store_transactions                                              Local Store Transactions    12787200    12787200    12787200
          1                          gst_transactions                                             Global Store Transactions   204940800   204940800   204940800
          1                           global_hit_rate                                     Global Hit Rate in unified l1/tex      66.00%      66.00%      66.00%
          1                            local_hit_rate                                                        Local Hit Rate      86.23%      86.23%      86.23%
          1                  gld_requested_throughput                                      Requested Global Load Throughput  4.5789MB/s  4.5789MB/s  4.5789MB/s
          1                  gst_requested_throughput                                     Requested Global Store Throughput  4.5789MB/s  4.5789MB/s  4.5789MB/s
          1                            gld_throughput                                                Global Load Throughput  13.737MB/s  13.737MB/s  13.737MB/s
          1                            gst_throughput                                               Global Store Throughput  10.607GB/s  10.607GB/s  10.607GB/s
          1                      tex_cache_throughput                                              Unified Cache Throughput  3.9229GB/s  3.9229GB/s  3.9229GB/s
          1                     local_load_throughput                                          Local Memory Load Throughput  6.7417GB/s  6.7417GB/s  6.7417GB/s
          1                    local_store_throughput                                         Local Memory Store Throughput  677.68MB/s  677.68MB/s  677.68MB/s
          1                    shared_load_throughput                                         Shared Memory Load Throughput  18.316MB/s  18.316MB/s  18.316MB/s
          1                   shared_store_throughput                                        Shared Memory Store Throughput  18.316MB/s  18.316MB/s  18.316MB/s
          1                            gld_efficiency                                         Global Memory Load Efficiency      33.33%      33.33%      33.33%
          1                            gst_efficiency                                        Global Memory Store Efficiency       0.04%       0.04%       0.04%
          1                    tex_cache_transactions                                            Unified Cache Transactions    75797685    75797685    75797685
          1                         cf_fu_utilization                                Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                        tex_fu_utilization                                     Texture Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                       ldst_fu_utilization                                  Load/Store Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1           double_precision_fu_utilization                            Double-Precision Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                    special_fu_utilization                                     Special Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1           single_precision_fu_utilization                            Single-Precision Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                             flop_count_dp                           Floating Point Operations(Double Precision)           0           0           0
          1                         flop_count_dp_add                       Floating Point Operations(Double Precision Add)           0           0           0
          1                         flop_count_dp_fma                       Floating Point Operations(Double Precision FMA)           0           0           0
          1                         flop_count_dp_mul                       Floating Point Operations(Double Precision Mul)           0           0           0
          1                             flop_count_sp                           Floating Point Operations(Single Precision)           0           0           0
          1                         flop_count_sp_add                       Floating Point Operations(Single Precision Add)           0           0           0
          1                         flop_count_sp_fma                       Floating Point Operations(Single Precision FMA)           0           0           0
          1                         flop_count_sp_mul                        Floating Point Operation(Single Precision Mul)           0           0           0
          1                     flop_count_sp_special                   Floating Point Operations(Single Precision Special)           0           0           0
          1                             inst_executed                                                 Instructions Executed   218479126   218479126   218479126
          1                               inst_issued                                                   Instructions Issued   218498164   218498164   218498164
          1                           tex_utilization                                             Unified Cache Utilization     Low (1)     Low (1)     Low (1)
          1                         shared_efficiency                                              Shared Memory Efficiency      25.00%      25.00%      25.00%
          1                        shared_utilization                                             Shared Memory Utilization     Low (1)     Low (1)     Low (1)
          1                                inst_fp_32                                               FP Instructions(Single)           0           0           0
          1                                inst_fp_64                                               FP Instructions(Double)           0           0           0
          1                              inst_integer                                                  Integer Instructions    33177600    33177600    33177600
          1                          inst_bit_convert                                              Bit-Convert Instructions           0           0           0
          1                              inst_control                                             Control-Flow Instructions     1843200     1843200     1843200
          1                        inst_compute_ld_st                                               Load/Store Instructions    11980800    11980800    11980800
          1                                 inst_misc                                                     Misc Instructions    13824000    13824000    13824000
          1           inst_inter_thread_communication                                             Inter-Thread Instructions           0           0           0
          1                               issue_slots                                                           Issue Slots   180307932   180307932   180307932
          1                                 cf_issued                                      Issued Control-Flow Instructions    30327400    30327400    30327400
          1                               cf_executed                                    Executed Control-Flow Instructions    30327400    30327400    30327400
          1                               ldst_issued                                        Issued Load/Store Instructions   107597863   107597863   107597863
          1                             ldst_executed                                      Executed Load/Store Instructions    28253863    28253863    28253863
          1                       atomic_transactions                                                   Atomic Transactions      116304      116304      116304
          1           atomic_transactions_per_request                                       Atomic Transactions Per Request    1.000456    1.000456    1.000456
          1                inst_executed_global_loads                              Warp level instructions for global loads      144000      144000      144000
          1                 inst_executed_local_loads                               Warp level instructions for local loads    16387200    16387200    16387200
          1                inst_executed_shared_loads                              Warp level instructions for shared loads       86400       86400       86400
          1               inst_executed_surface_loads                             Warp level instructions for surface loads           0           0           0
          1               inst_executed_global_stores                             Warp level instructions for global stores     6624000     6624000     6624000
          1                inst_executed_local_stores                              Warp level instructions for local stores     3139200     3139200     3139200
          1               inst_executed_shared_stores                             Warp level instructions for shared stores       86400       86400       86400
          1              inst_executed_surface_stores                            Warp level instructions for surface stores           0           0           0
          1              inst_executed_global_atomics                  Warp level instructions for global atom and atom cas      116251      116251      116251
          1           inst_executed_global_reductions                         Warp level instructions for global reductions           0           0           0
          1             inst_executed_surface_atomics                 Warp level instructions for surface atom and atom cas           0           0           0
          1          inst_executed_surface_reductions                        Warp level instructions for surface reductions           0           0           0
          1              inst_executed_shared_atomics                  Warp level shared instructions for atom and atom CAS           0           0           0
          1                     inst_executed_tex_ops                                   Warp level instructions for texture      917660      917660      917660
          1                      l2_global_load_bytes       Bytes read from L2 for misses in Unified Cache for global loads    15667200    15667200    15667200
          1                       l2_local_load_bytes        Bytes read from L2 for misses in Unified Cache for local loads   580132352   580132352   580132352
          1                     l2_surface_load_bytes      Bytes read from L2 for misses in Unified Cache for surface loads           0           0           0
          1               l2_local_global_store_bytes   Bytes written to L2 from Unified Cache for local and global stores.  6967296000  6967296000  6967296000
          1                 l2_global_reduction_bytes          Bytes written to L2 from Unified cache for global reductions           0           0           0
          1              l2_global_atomic_store_bytes             Bytes written to L2 from Unified cache for global atomics     3720576     3720576     3720576
          1                    l2_surface_store_bytes            Bytes written to L2 from Unified Cache for surface stores.           0           0           0
          1                l2_surface_reduction_bytes         Bytes written to L2 from Unified Cache for surface reductions           0           0           0
          1             l2_surface_atomic_store_bytes    Bytes transferred between Unified Cache and L2 for surface atomics           0           0           0
          1                      global_load_requests              Total number of global load requests from Multiprocessor     1094400     1094400     1094400
          1                       local_load_requests               Total number of local load requests from Multiprocessor    65289600    65289600    65289600
          1                     surface_load_requests             Total number of surface load requests from Multiprocessor           0           0           0
          1                     global_store_requests             Total number of global store requests from Multiprocessor    26755200    26755200    26755200
          1                      local_store_requests              Total number of local store requests from Multiprocessor    12787200    12787200    12787200
          1                    surface_store_requests            Total number of surface store requests from Multiprocessor           0           0           0
          1                    global_atomic_requests            Total number of global atomic requests from Multiprocessor      116304      116304      116304
          1                 global_reduction_requests         Total number of global reduction requests from Multiprocessor           0           0           0
          1                   surface_atomic_requests           Total number of surface atomic requests from Multiprocessor           0           0           0
          1                surface_reduction_requests        Total number of surface reduction requests from Multiprocessor           0           0           0
          1                     texture_load_requests             Total number of texture Load requests from Multiprocessor     8154175     8154175     8154175
          1                          stall_inst_fetch                              Issue Stall Reasons (Instructions Fetch)       0.96%       0.96%       0.96%
          1                     stall_exec_dependency                            Issue Stall Reasons (Execution Dependency)      25.71%      25.71%      25.71%
          1                   stall_memory_dependency                                    Issue Stall Reasons (Data Request)      59.57%      59.57%      59.57%
          1                             stall_texture                                         Issue Stall Reasons (Texture)       0.71%       0.71%       0.71%
          1                                stall_sync                                 Issue Stall Reasons (Synchronization)       3.17%       3.17%       3.17%
          1                               stall_other                                           Issue Stall Reasons (Other)       9.60%       9.60%       9.60%
          1          stall_constant_memory_dependency                              Issue Stall Reasons (Immediate constant)       0.01%       0.01%       0.01%
          1                           stall_pipe_busy                                       Issue Stall Reasons (Pipe Busy)       0.09%       0.09%       0.09%
          1                     stall_memory_throttle                                 Issue Stall Reasons (Memory Throttle)       0.12%       0.12%       0.12%
          1                        stall_not_selected                                    Issue Stall Reasons (Not Selected)       0.06%       0.06%       0.06%
          1                  sysmem_read_transactions                                       System Memory Read Transactions           0           0           0
          1                 sysmem_write_transactions                                      System Memory Write Transactions           0           0           0
          1                      l2_read_transactions                                                  L2 Read Transactions    24230856    24230856    24230856
          1                     l2_write_transactions                                                 L2 Write Transactions   226963101   226963101   226963101
          1                     local_memory_overhead                                                 Local Memory Overhead      12.70%      12.70%      12.70%
          1                        tex_cache_hit_rate                                                Unified Cache Hit Rate      37.29%      37.29%      37.29%
          1                    l2_tex_read_throughput                                         L2 Throughput (Texture Reads)  1.3386GB/s  1.3386GB/s  1.3386GB/s
          1                   l2_tex_write_throughput                                        L2 Throughput (Texture Writes)  11.268GB/s  11.268GB/s  11.268GB/s
          1                  l2_tex_read_transactions                                       L2 Transactions (Texture Reads)    25865042    25865042    25865042
          1                 l2_tex_write_transactions                                      L2 Transactions (Texture Writes)   217728000   217728000   217728000
          1                        l2_read_throughput                                                 L2 Throughput (Reads)  1.2541GB/s  1.2541GB/s  1.2541GB/s
          1                       l2_write_throughput                                                L2 Throughput (Writes)  11.746GB/s  11.746GB/s  11.746GB/s
          1                    sysmem_read_throughput                                         System Memory Read Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   sysmem_write_throughput                                        System Memory Write Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                      l2_atomic_throughput                                       L2 Throughput (Atomic requests)  6.1634MB/s  6.1634MB/s  6.1634MB/s
          1                    l2_atomic_transactions                                     L2 Transactions (Atomic requests)      232596      232596      232596
          1                         sysmem_read_bytes                                              System Memory Read Bytes           0           0           0
          1                        sysmem_write_bytes                                             System Memory Write Bytes           0           0           0
          1                          gld_transactions                                              Global Load Transactions     1497602     1497602     1497602
          1              gld_transactions_per_request                                  Global Load Transactions Per Request   10.400014   10.400014   10.400014
          1                            l2_utilization                                                  L2 Cache Utilization     Low (2)     Low (2)     Low (2)
          1                          dram_utilization                                             Device Memory Utilization    Max (10)    Max (10)    Max (10)
          1                             flop_count_hp                             Floating Point Operations(Half Precision)           0           0           0
          1                         flop_count_hp_add                         Floating Point Operations(Half Precision Add)           0           0           0
          1                         flop_count_hp_fma                         Floating Point Operations(Half Precision FMA)           0           0           0
          1                         flop_count_hp_mul                          Floating Point Operation(Half Precision Mul)           0           0           0
          1                        flop_hp_efficiency                                            FLOP Efficiency(Peak Half)       0.00%       0.00%       0.00%
          1                                inst_fp_16                                                 HP Instructions(Half)           0           0           0
          1             half_precision_fu_utilization                              Half-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1                  eligible_warps_per_cycle                                       Eligible Warps Per Active Cycle    0.391480    0.391480    0.391480
          1                        flop_sp_efficiency                                          FLOP Efficiency(Peak Single)       0.00%       0.00%       0.00%
          1                        flop_dp_efficiency                                          FLOP Efficiency(Peak Double)       0.00%       0.00%       0.00%
