==7388== NVPROF is profiling process 7388, command: ./encryptApp
==7388== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==7388== Profiling application: ./encryptApp
==7388== Profiling result:
==7388== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA Tegra X1 (0)"
    Kernel: confusionKernel(unsigned char*, unsigned char*, int, int, int, unsigned long)
          5                             sm_efficiency                                               Multiprocessor Activity      99.92%      99.93%      99.93%
          5                        achieved_occupancy                                                    Achieved Occupancy    0.946945    0.947936    0.947620
          5                                       ipc                                                          Executed IPC    2.140277    2.178485    2.151285
          5                                issued_ipc                                                            Issued IPC    2.144751    2.192709    2.172535
          5                             inst_per_warp                                                 Instructions per warp  180.268021  180.268021  180.268021
          5                         branch_efficiency                                                     Branch Efficiency     100.00%     100.00%     100.00%
          5                 warp_execution_efficiency                                             Warp Execution Efficiency      99.86%      99.86%      99.86%
          5         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency      95.66%      95.66%      95.66%
          5                      inst_replay_overhead                                           Instruction Replay Overhead    0.000051    0.000069    0.000061
          5                    issue_slot_utilization                                                Issue Slot Utilization      48.55%      49.64%      49.18%
          5      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    1.000000    1.000000    1.000000
          5     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    2.020833    2.020833    2.020833
          5       local_load_transactions_per_request                            Local Memory Load Transactions Per Request    1.037288    1.037288    1.037288
          5      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    1.111111    1.111111    1.111111
          5              gst_transactions_per_request                                 Global Store Transactions Per Request    2.993123    2.993123    2.993123
          5                 shared_store_transactions                                             Shared Store Transactions      349200      349200      349200
          5                  shared_load_transactions                                              Shared Load Transactions      172800      172800      172800
          5                   local_load_transactions                                               Local Load Transactions         306         306         306
          5                  local_store_transactions                                              Local Store Transactions          70          70          70
          5                          gst_transactions                                             Global Store Transactions      259390      259390      259390
          5                           global_hit_rate                                     Global Hit Rate in unified l1/tex      62.48%      62.48%      62.48%
          5                            local_hit_rate                                                        Local Hit Rate      70.92%      72.88%      71.83%
          5                  gld_requested_throughput                                      Requested Global Load Throughput  998.73MB/s  0.9824GB/s  0.9802GB/s
          5                  gst_requested_throughput                                     Requested Global Store Throughput  998.73MB/s  0.9824GB/s  0.9802GB/s
          5                            gld_throughput                                                Global Load Throughput  2.9260GB/s  2.9473GB/s  2.9406GB/s
          5                            gst_throughput                                               Global Store Throughput  2.9281GB/s  2.9494GB/s  2.9427GB/s
          5                      tex_cache_throughput                                              Unified Cache Throughput  3.9073GB/s  3.9357GB/s  3.9268GB/s
          5                     local_load_throughput                                          Local Memory Load Throughput  3.5372MB/s  3.5629MB/s  3.5548MB/s
          5                    local_store_throughput                                         Local Memory Store Throughput  828.57KB/s  834.61KB/s  832.71KB/s
          5                    shared_load_throughput                                         Shared Memory Load Throughput  7.8025GB/s  7.8594GB/s  7.8415GB/s
          5                   shared_store_throughput                                        Shared Memory Store Throughput  15.768GB/s  15.883GB/s  15.846GB/s
          5                            gld_efficiency                                         Global Memory Load Efficiency      33.33%      33.33%      33.33%
          5                            gst_efficiency                                        Global Memory Store Efficiency      33.31%      33.31%      33.31%
          5                    tex_cache_transactions                                            Unified Cache Transactions      346131      346131      346131
          5                         cf_fu_utilization                                Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
          5                        tex_fu_utilization                                     Texture Function Unit Utilization     Low (2)     Low (2)     Low (2)
          5                       ldst_fu_utilization                                  Load/Store Function Unit Utilization     Low (2)     Low (2)     Low (2)
          5           double_precision_fu_utilization                            Double-Precision Function Unit Utilization     Mid (5)     Mid (5)     Mid (5)
          5                    special_fu_utilization                                     Special Function Unit Utilization     Low (2)     Low (2)     Low (2)
          5           single_precision_fu_utilization                            Single-Precision Function Unit Utilization     Mid (4)     Mid (4)     Mid (4)
          5                             flop_count_dp                           Floating Point Operations(Double Precision)     1843200     1843200     1843200
          5                         flop_count_dp_add                       Floating Point Operations(Double Precision Add)      921600      921600      921600
          5                         flop_count_dp_fma                       Floating Point Operations(Double Precision FMA)           0           0           0
          5                         flop_count_dp_mul                       Floating Point Operations(Double Precision Mul)      921600      921600      921600
          5                             flop_count_sp                           Floating Point Operations(Single Precision)    17913600    17913600    17913600
          5                         flop_count_sp_add                       Floating Point Operations(Single Precision Add)     1382400     1382400     1382400
          5                         flop_count_sp_fma                       Floating Point Operations(Single Precision FMA)     6854400     6854400     6854400
          5                         flop_count_sp_mul                        Floating Point Operation(Single Precision Mul)     2822400     2822400     2822400
          5                     flop_count_sp_special                   Floating Point Operations(Single Precision Special)           0           0           0
          5                             inst_executed                                                 Instructions Executed     5191719     5191719     5191719
          5                               inst_issued                                                   Instructions Issued     5191985     5192167     5192055
          5                           tex_utilization                                             Unified Cache Utilization     Low (1)     Low (1)     Low (1)
          5                         shared_efficiency                                              Shared Memory Efficiency      16.55%      16.55%      16.55%
          5                        shared_utilization                                             Shared Memory Utilization     Low (3)     Low (3)     Low (3)
