==23275== NVPROF is profiling process 23275, command: ./encryptApp
==23275== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==23275== Profiling application: ./encryptApp
==23275== Profiling result:
==23275== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA Tegra X1 (0)"
    Kernel: diffusionKernel(unsigned char const *, unsigned char*, unsigned char const *, int, int, int, int, int, unsigned char*)
          5                             sm_efficiency                                               Multiprocessor Activity      69.83%      70.74%      70.19%
          5                        achieved_occupancy                                                    Achieved Occupancy    0.487560    0.488544    0.487959
          5                                       ipc                                                          Executed IPC    1.823619    1.837992    1.833153
          5                                issued_ipc                                                            Issued IPC    1.812270    1.836884    1.824329
          5                             inst_per_warp                                                 Instructions per warp  6.9440e+04  6.9440e+04  6.9440e+04
          5                         branch_efficiency                                                     Branch Efficiency     100.00%     100.00%     100.00%
          5                 warp_execution_efficiency                                             Warp Execution Efficiency       3.12%       3.12%       3.12%
          5         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency       2.95%       2.95%       2.95%
          5                      inst_replay_overhead                                           Instruction Replay Overhead    0.000027    0.000031    0.000029
          5                    issue_slot_utilization                                                Issue Slot Utilization      42.52%      43.10%      42.80%
          5      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          5     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          5       local_load_transactions_per_request                            Local Memory Load Transactions Per Request    1.013793    1.013793    1.013793
          5      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    1.106383    1.106383    1.106383
          5              gst_transactions_per_request                                 Global Store Transactions Per Request    0.966589    0.966589    0.966589
          5                 shared_store_transactions                                             Shared Store Transactions           0           0           0
          5                  shared_load_transactions                                              Shared Load Transactions           0           0           0
          5                   local_load_transactions                                               Local Load Transactions      396900      396900      396900
          5                  local_store_transactions                                              Local Store Transactions       46800       46800       46800
          5                          gst_transactions                                             Global Store Transactions     2968200     2968200     2968200
          5                           global_hit_rate                                     Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
          5                            local_hit_rate                                                        Local Hit Rate      86.09%      87.01%      86.60%
          5                  gld_requested_throughput                                      Requested Global Load Throughput  152.41MB/s  156.36MB/s  153.56MB/s
          5                  gst_requested_throughput                                     Requested Global Store Throughput  50.830MB/s  52.147MB/s  51.216MB/s
          5                            gld_throughput                                                Global Load Throughput  4.7627GB/s  4.8861GB/s  4.7989GB/s
          5                            gst_throughput                                               Global Store Throughput  1.7047GB/s  1.7489GB/s  1.7177GB/s
          5                      tex_cache_throughput                                              Unified Cache Throughput  8.0134GB/s  10.613GB/s  9.4434GB/s
          5                     local_load_throughput                                          Local Memory Load Throughput  233.42MB/s  239.47MB/s  235.20MB/s
          5                    local_store_throughput                                         Local Memory Store Throughput  27.524MB/s  28.237MB/s  27.733MB/s
          5                    shared_load_throughput                                         Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          5                   shared_store_throughput                                        Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          5                            gld_efficiency                                         Global Memory Load Efficiency       3.12%       3.12%       3.12%
          5                            gst_efficiency                                        Global Memory Store Efficiency       2.91%       2.91%       2.91%
          5                    tex_cache_transactions                                            Unified Cache Transactions    13906764    18479557    16318453
          5                         cf_fu_utilization                                Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
          5                        tex_fu_utilization                                     Texture Function Unit Utilization     Low (2)     Low (2)     Low (2)
          5                       ldst_fu_utilization                                  Load/Store Function Unit Utilization     Low (1)     Low (1)     Low (1)
          5           double_precision_fu_utilization                            Double-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          5                    special_fu_utilization                                     Special Function Unit Utilization     Low (1)     Low (1)     Low (1)
          5           single_precision_fu_utilization                            Single-Precision Function Unit Utilization     Low (3)     Low (3)     Low (3)
          5                             flop_count_dp                           Floating Point Operations(Double Precision)           0           0           0
          5                         flop_count_dp_add                       Floating Point Operations(Double Precision Add)           0           0           0
          5                         flop_count_dp_fma                       Floating Point Operations(Double Precision FMA)           0           0           0
          5                         flop_count_dp_mul                       Floating Point Operations(Double Precision Mul)           0           0           0
          5                             flop_count_sp                           Floating Point Operations(Single Precision)           0           0           0
          5                         flop_count_sp_add                       Floating Point Operations(Single Precision Add)           0           0           0
          5                         flop_count_sp_fma                       Floating Point Operations(Single Precision FMA)           0           0           0
          5                         flop_count_sp_mul                        Floating Point Operation(Single Precision Mul)           0           0           0
