==4849== NVPROF is profiling process 4849, command: ./encryptApp
==4849== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==4849== Profiling application: ./encryptApp
==4849== Profiling result:
==4849== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA Tegra X1 (0)"
    Kernel: diffusionKernel(unsigned char const *, unsigned char*, unsigned char const *, int, int, int, int, int, unsigned char*)
          5                             sm_efficiency                                               Multiprocessor Activity      69.97%      98.30%      80.14%
          5                        achieved_occupancy                                                    Achieved Occupancy    0.482654    0.487528    0.484659
          5                                       ipc                                                          Executed IPC    1.571425    1.649632    1.630172
          5                                issued_ipc                                                            Issued IPC    1.607874    1.644975    1.630725
          5                             inst_per_warp                                                 Instructions per warp  8.1856e+04  8.1857e+04  8.1856e+04
          5                         branch_efficiency                                                     Branch Efficiency     100.00%     100.00%     100.00%
          5                 warp_execution_efficiency                                             Warp Execution Efficiency       3.12%       3.12%       3.12%
          5         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency       2.98%       2.98%       2.98%
          5                      inst_replay_overhead                                           Instruction Replay Overhead    0.000044    0.000051    0.000047
          5                    issue_slot_utilization                                                Issue Slot Utilization      36.56%      37.41%      37.08%
          5      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          5     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          5       local_load_transactions_per_request                            Local Memory Load Transactions Per Request    1.018977    1.018977    1.018977
          5      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    1.105263    1.105263    1.105263
          5              gst_transactions_per_request                                 Global Store Transactions Per Request    0.940173    0.940173    0.940173
          5                 shared_store_transactions                                             Shared Store Transactions           0           0           0
          5                  shared_load_transactions                                              Shared Load Transactions           0           0           0
          5                   local_load_transactions                                               Local Load Transactions     2223000     2223000     2223000
          5                  local_store_transactions                                              Local Store Transactions      321300      321300      321300
          5                          gst_transactions                                             Global Store Transactions     3917700     3917700     3917700
          5                           global_hit_rate                                     Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
          5                            local_hit_rate                                                        Local Hit Rate      76.18%      82.24%      80.06%
          5                  gld_requested_throughput                                      Requested Global Load Throughput  92.874MB/s  94.870MB/s  93.754MB/s
          5                  gst_requested_throughput                                     Requested Global Store Throughput  39.458MB/s  40.306MB/s  39.832MB/s
          5                            gld_throughput                                                Global Load Throughput  2.9023GB/s  2.9647GB/s  2.9298GB/s
          5                            gst_throughput                                               Global Store Throughput  1.7467GB/s  1.7842GB/s  1.7632GB/s
          5                      tex_cache_throughput                                              Unified Cache Throughput  7.2068GB/s  10.015GB/s  8.9203GB/s
          5                     local_load_throughput                                          Local Memory Load Throughput  0.9911GB/s  1.0124GB/s  1.0005GB/s
          5                    local_store_throughput                                         Local Memory Store Throughput  146.69MB/s  149.84MB/s  148.08MB/s
          5                    shared_load_throughput                                         Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          5                   shared_store_throughput                                        Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          5                            gld_efficiency                                         Global Memory Load Efficiency       3.12%       3.12%       3.12%
          5                            gst_efficiency                                        Global Memory Store Efficiency       2.21%       2.21%       2.21%
          5                    tex_cache_transactions                                            Unified Cache Transactions    15824258    22407998    19819724
          5                         cf_fu_utilization                                Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
          5                        tex_fu_utilization                                     Texture Function Unit Utilization     Low (2)     Low (2)     Low (2)
          5                       ldst_fu_utilization                                  Load/Store Function Unit Utilization     Low (1)     Low (1)     Low (1)
          5           double_precision_fu_utilization                            Double-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          5                    special_fu_utilization                                     Special Function Unit Utilization     Low (1)     Low (1)     Low (1)
          5           single_precision_fu_utilization                            Single-Precision Function Unit Utilization     Low (3)     Low (3)     Low (3)
          5                             flop_count_dp                           Floating Point Operations(Double Precision)           0           0           0
          5                         flop_count_dp_add                       Floating Point Operations(Double Precision Add)           0           0           0
          5                         flop_count_dp_fma                       Floating Point Operations(Double Precision FMA)           0           0           0
          5                         flop_count_dp_mul                       Floating Point Operations(Double Precision Mul)           0           0           0
          5                             flop_count_sp                           Floating Point Operations(Single Precision)           0           0           0
          5                         flop_count_sp_add                       Floating Point Operations(Single Precision Add)           0           0           0
          5                         flop_count_sp_fma                       Floating Point Operations(Single Precision FMA)           0           0           0
          5                         flop_count_sp_mul                        Floating Point Operation(Single Precision Mul)           0           0           0
