==4666== NVPROF is profiling process 4666, command: ./encryptApp
==4666== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==4666== Profiling application: ./encryptApp
==4666== Profiling result:
==4666== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA Tegra X1 (0)"
    Kernel: diffusionKernel(unsigned char*, unsigned char*, unsigned char*, int, int, int, int, int, unsigned char*)
          1                             sm_efficiency                                               Multiprocessor Activity      99.87%      99.87%      99.87%
          1                        achieved_occupancy                                                    Achieved Occupancy    0.898779    0.898779    0.898779
          1                                       ipc                                                          Executed IPC    2.216248    2.216248    2.216248
          1                                issued_ipc                                                            Issued IPC    2.221741    2.221741    2.221741
          1                             inst_per_warp                                                 Instructions per warp   90.687500   90.687500   90.687500
          1                         branch_efficiency                                                     Branch Efficiency     100.00%     100.00%     100.00%
          1                 warp_execution_efficiency                                             Warp Execution Efficiency      97.13%      97.13%      97.13%
          1         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency      96.02%      96.02%      96.02%
          1                      inst_replay_overhead                                           Instruction Replay Overhead    0.000075    0.000075    0.000075
          1                    issue_slot_utilization                                                Issue Slot Utilization      46.89%      46.89%      46.89%
          1      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    1.000000    1.000000    1.000000
          1     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    1.000000    1.000000    1.000000
          1       local_load_transactions_per_request                            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1              gst_transactions_per_request                                 Global Store Transactions Per Request    2.979381    2.979381    2.979381
          1                 shared_store_transactions                                             Shared Store Transactions       57600       57600       57600
          1                  shared_load_transactions                                              Shared Load Transactions       28800       28800       28800
          1                   local_load_transactions                                               Local Load Transactions           0           0           0
          1                  local_store_transactions                                              Local Store Transactions           0           0           0
          1                          gst_transactions                                             Global Store Transactions      260100      260100      260100
          1                           global_hit_rate                                     Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
          1                            local_hit_rate                                                        Local Hit Rate       0.00%       0.00%       0.00%
          1                  gld_requested_throughput                                      Requested Global Load Throughput  3.9747GB/s  3.9747GB/s  3.9747GB/s
          1                  gst_requested_throughput                                     Requested Global Store Throughput  1.9877GB/s  1.9877GB/s  1.9877GB/s
          1                            gld_throughput                                                Global Load Throughput  11.943GB/s  11.943GB/s  11.943GB/s
          1                            gst_throughput                                               Global Store Throughput  5.9818GB/s  5.9818GB/s  5.9818GB/s
          1                      tex_cache_throughput                                              Unified Cache Throughput  15.917GB/s  15.917GB/s  15.917GB/s
          1                     local_load_throughput                                          Local Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                    local_store_throughput                                         Local Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                    shared_load_throughput                                         Shared Memory Load Throughput  2.6494GB/s  2.6494GB/s  2.6494GB/s
          1                   shared_store_throughput                                        Shared Memory Store Throughput  5.2987GB/s  5.2987GB/s  5.2987GB/s
          1                            gld_efficiency                                         Global Memory Load Efficiency      33.28%      33.28%      33.28%
          1                            gst_efficiency                                        Global Memory Store Efficiency      33.23%      33.23%      33.23%
          1                    tex_cache_transactions                                            Unified Cache Transactions      692100      692100      692100
          1                         cf_fu_utilization                                Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                        tex_fu_utilization                                     Texture Function Unit Utilization     Mid (5)     Mid (5)     Mid (5)
          1                       ldst_fu_utilization                                  Load/Store Function Unit Utilization     Low (2)     Low (2)     Low (2)
          1           double_precision_fu_utilization                            Double-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1                    special_fu_utilization                                     Special Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1           single_precision_fu_utilization                            Single-Precision Function Unit Utilization     Mid (4)     Mid (4)     Mid (4)
          1                             flop_count_dp                           Floating Point Operations(Double Precision)           0           0           0
          1                         flop_count_dp_add                       Floating Point Operations(Double Precision Add)           0           0           0
          1                         flop_count_dp_fma                       Floating Point Operations(Double Precision FMA)           0           0           0
          1                         flop_count_dp_mul                       Floating Point Operations(Double Precision Mul)           0           0           0
          1                             flop_count_sp                           Floating Point Operations(Single Precision)           0           0           0
          1                         flop_count_sp_add                       Floating Point Operations(Single Precision Add)           0           0           0
          1                         flop_count_sp_fma                       Floating Point Operations(Single Precision FMA)           0           0           0
          1                         flop_count_sp_mul                        Floating Point Operation(Single Precision Mul)           0           0           0
          1                     flop_count_sp_special                   Floating Point Operations(Single Precision Special)        1800        1800        1800
          1                             inst_executed                                                 Instructions Executed     2611800     2611800     2611800
          1                               inst_issued                                                   Instructions Issued     2611996     2611996     2611996
          1                           tex_utilization                                             Unified Cache Utilization     Low (3)     Low (3)     Low (3)
          1                         shared_efficiency                                              Shared Memory Efficiency     100.00%     100.00%     100.00%
          1                        shared_utilization                                             Shared Memory Utilization     Low (1)     Low (1)     Low (1)
          1                                inst_fp_32                                               FP Instructions(Single)        1800        1800        1800
          1                                inst_fp_64                                               FP Instructions(Double)           0           0           0
          1                              inst_integer                                                  Integer Instructions    54435661    54435661    54435661
          1                          inst_bit_convert                                              Bit-Convert Instructions        3600        3600        3600
          1                              inst_control                                             Control-Flow Instructions     2764800     2764800     2764800
          1                        inst_compute_ld_st                                               Load/Store Instructions    11982600    11982600    11982600
          1                                 inst_misc                                                     Misc Instructions    11061000    11061000    11061000
          1           inst_inter_thread_communication                                             Inter-Thread Instructions           0           0           0
          1                               issue_slots                                                           Issue Slots     2205196     2205196     2205196
          1                                 cf_issued                                      Issued Control-Flow Instructions      116100      116100      116100
          1                               cf_executed                                    Executed Control-Flow Instructions      116100      116100      116100
          1                               ldst_issued                                        Issued Load/Store Instructions     1297800     1297800     1297800
          1                             ldst_executed                                      Executed Load/Store Instructions      549000      549000      549000
          1                       atomic_transactions                                                   Atomic Transactions           0           0           0
          1           atomic_transactions_per_request                                       Atomic Transactions Per Request    0.000000    0.000000    0.000000
          1                inst_executed_global_loads                              Warp level instructions for global loads      173700      173700      173700
          1                 inst_executed_local_loads                               Warp level instructions for local loads           0           0           0
          1                inst_executed_shared_loads                              Warp level instructions for shared loads       28800       28800       28800
          1               inst_executed_surface_loads                             Warp level instructions for surface loads           0           0           0
          1               inst_executed_global_stores                             Warp level instructions for global stores       87300       87300       87300
          1                inst_executed_local_stores                              Warp level instructions for local stores           0           0           0
          1               inst_executed_shared_stores                             Warp level instructions for shared stores       57600       57600       57600
          1              inst_executed_surface_stores                            Warp level instructions for surface stores           0           0           0
          1              inst_executed_global_atomics                  Warp level instructions for global atom and atom cas           0           0           0
          1           inst_executed_global_reductions                         Warp level instructions for global reductions           0           0           0
          1             inst_executed_surface_atomics                 Warp level instructions for surface atom and atom cas           0           0           0
          1          inst_executed_surface_reductions                        Warp level instructions for surface reductions           0           0           0
          1              inst_executed_shared_atomics                  Warp level shared instructions for atom and atom CAS           0           0           0
          1                     inst_executed_tex_ops                                   Warp level instructions for texture           0           0           0
          1                      l2_global_load_bytes       Bytes read from L2 for misses in Unified Cache for global loads    16617600    16617600    16617600
          1                       l2_local_load_bytes        Bytes read from L2 for misses in Unified Cache for local loads           0           0           0
          1                     l2_surface_load_bytes      Bytes read from L2 for misses in Unified Cache for surface loads           0           0           0
          1               l2_local_global_store_bytes   Bytes written to L2 from Unified Cache for local and global stores.     8323200     8323200     8323200
          1                 l2_global_reduction_bytes          Bytes written to L2 from Unified cache for global reductions           0           0           0
          1              l2_global_atomic_store_bytes             Bytes written to L2 from Unified cache for global atomics           0           0           0
          1                    l2_surface_store_bytes            Bytes written to L2 from Unified Cache for surface stores.           0           0           0
          1                l2_surface_reduction_bytes         Bytes written to L2 from Unified Cache for surface reductions           0           0           0
          1             l2_surface_atomic_store_bytes    Bytes transferred between Unified Cache and L2 for surface atomics           0           0           0
          1                      global_load_requests              Total number of global load requests from Multiprocessor      692100      692100      692100
          1                       local_load_requests               Total number of local load requests from Multiprocessor           0           0           0
          1                     surface_load_requests             Total number of surface load requests from Multiprocessor           0           0           0
          1                     global_store_requests             Total number of global store requests from Multiprocessor      346500      346500      346500
          1                      local_store_requests              Total number of local store requests from Multiprocessor           0           0           0
          1                    surface_store_requests            Total number of surface store requests from Multiprocessor           0           0           0
          1                    global_atomic_requests            Total number of global atomic requests from Multiprocessor           0           0           0
          1                 global_reduction_requests         Total number of global reduction requests from Multiprocessor           0           0           0
          1                   surface_atomic_requests           Total number of surface atomic requests from Multiprocessor           0           0           0
          1                surface_reduction_requests        Total number of surface reduction requests from Multiprocessor           0           0           0
          1                     texture_load_requests             Total number of texture Load requests from Multiprocessor           0           0           0
          1                          stall_inst_fetch                              Issue Stall Reasons (Instructions Fetch)       3.35%       3.35%       3.35%
          1                     stall_exec_dependency                            Issue Stall Reasons (Execution Dependency)       8.04%       8.04%       8.04%
          1                   stall_memory_dependency                                    Issue Stall Reasons (Data Request)      34.60%      34.60%      34.60%
          1                             stall_texture                                         Issue Stall Reasons (Texture)       0.30%       0.30%       0.30%
          1                                stall_sync                                 Issue Stall Reasons (Synchronization)      27.23%      27.23%      27.23%
          1                               stall_other                                           Issue Stall Reasons (Other)       8.31%       8.31%       8.31%
          1          stall_constant_memory_dependency                              Issue Stall Reasons (Immediate constant)       0.04%       0.04%       0.04%
          1                           stall_pipe_busy                                       Issue Stall Reasons (Pipe Busy)       1.30%       1.30%       1.30%
          1                     stall_memory_throttle                                 Issue Stall Reasons (Memory Throttle)      11.84%      11.84%      11.84%
          1                        stall_not_selected                                    Issue Stall Reasons (Not Selected)       4.99%       4.99%       4.99%
          1                  sysmem_read_transactions                                       System Memory Read Transactions           0           0           0
          1                 sysmem_write_transactions                                      System Memory Write Transactions           0           0           0
          1                      l2_read_transactions                                                  L2 Read Transactions      522032      522032      522032
          1                     l2_write_transactions                                                 L2 Write Transactions      260123      260123      260123
          1                     local_memory_overhead                                                 Local Memory Overhead       0.00%       0.00%       0.00%
          1                        tex_cache_hit_rate                                                Unified Cache Hit Rate      62.45%      62.45%      62.45%
          1                    l2_tex_read_throughput                                         L2 Throughput (Texture Reads)  11.943GB/s  11.943GB/s  11.943GB/s
          1                   l2_tex_write_throughput                                        L2 Throughput (Texture Writes)  5.9818GB/s  5.9818GB/s  5.9818GB/s
          1                  l2_tex_read_transactions                                       L2 Transactions (Texture Reads)      519300      519300      519300
          1                 l2_tex_write_transactions                                      L2 Transactions (Texture Writes)      260100      260100      260100
          1                        l2_read_throughput                                                 L2 Throughput (Reads)  12.006GB/s  12.006GB/s  12.006GB/s
          1                       l2_write_throughput                                                L2 Throughput (Writes)  5.9823GB/s  5.9823GB/s  5.9823GB/s
          1                    sysmem_read_throughput                                         System Memory Read Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   sysmem_write_throughput                                        System Memory Write Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                      l2_atomic_throughput                                       L2 Throughput (Atomic requests)  0.00000B/s  0.00000B/s  0.00000B/s
          1                    l2_atomic_transactions                                     L2 Transactions (Atomic requests)           0           0           0
          1                         sysmem_read_bytes                                              System Memory Read Bytes           0           0           0
          1                        sysmem_write_bytes                                             System Memory Write Bytes           0           0           0
          1                          gld_transactions                                              Global Load Transactions      692102      692102      692102
          1              gld_transactions_per_request                                  Global Load Transactions Per Request    3.984467    3.984467    3.984467
          1                            l2_utilization                                                  L2 Cache Utilization     Low (2)     Low (2)     Low (2)
          1                          dram_utilization                                             Device Memory Utilization    Max (10)    Max (10)    Max (10)
          1                             flop_count_hp                             Floating Point Operations(Half Precision)           0           0           0
          1                         flop_count_hp_add                         Floating Point Operations(Half Precision Add)           0           0           0
          1                         flop_count_hp_fma                         Floating Point Operations(Half Precision FMA)           0           0           0
          1                         flop_count_hp_mul                          Floating Point Operation(Half Precision Mul)           0           0           0
          1                        flop_hp_efficiency                                            FLOP Efficiency(Peak Half)       0.00%       0.00%       0.00%
          1                                inst_fp_16                                                 HP Instructions(Half)           0           0           0
          1             half_precision_fu_utilization                              Half-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1                  eligible_warps_per_cycle                                       Eligible Warps Per Active Cycle    4.663207    4.663207    4.663207
          1                        flop_sp_efficiency                                          FLOP Efficiency(Peak Single)       0.00%       0.00%       0.00%
          1                        flop_dp_efficiency                                          FLOP Efficiency(Peak Double)       0.00%       0.00%       0.00%
