==21492== NVPROF is profiling process 21492, command: ./encryptApp
==21492== Warning: Unified Memory Profiling is not supported on the underlying platform. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==21492== Profiling application: ./encryptApp
==21492== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
597.39ms  5.2080us                    -               -         -         -         -  7.5000KB  1.3734GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
603.88ms  497.01ms            (480 1 1)       (960 1 1)        32        0B  15.000KB         -           -           -           -  NVIDIA Tegra X1         1         7  prbgaKernel(unsigned char*, unsigned char*, unsigned char*, double const *, int) [117]
1.13652s  3.9117ms                    -               -         -         -         -  2.6367MB  674.06MB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
1.14192s  895.51us                    -               -         -         -         -  2.6367MB  2.8754GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
1.14382s  1.1030ms                    -               -         -         -         -  2.6367MB  2.3345GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
1.15868s  5.1002ms                    -               -         -         -         -  2.6367MB  516.98MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
1.16516s  8.1297ms            (160 1 1)       (170 6 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  confusionKernel(unsigned char const *, unsigned char*, int, int, int, unsigned long) [129]
1.17697s  845.04us                    -               -         -         -         -  2.6367MB  3.0471GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
1.39206s  2.4793ms                    -               -         -         -         -  2.6367MB  1.0386GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
1.39521s  941.30us                    -               -         -         -         -  2.6367MB  2.7355GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
1.39625s  54.393ms            (480 1 1)         (1 1 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  diffusionKernel(unsigned char const *, unsigned char*, unsigned char const *, int, int, int, int) [139]
1.45533s  811.19us                    -               -         -         -         -  2.6367MB  3.1743GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
1.69436s  1.8750ms                    -               -         -         -         -  2.6367MB  1.3733GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
1.69641s  6.9081ms            (160 1 1)       (170 6 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  confusionKernel(unsigned char const *, unsigned char*, int, int, int, unsigned long) [148]
1.70632s  2.7684ms                    -               -         -         -         -  2.6367MB  952.43MB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
1.85735s  1.1694ms                    -               -         -         -         -  2.6367MB  2.2020GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
1.85908s  1.0375ms                    -               -         -         -         -  2.6367MB  2.4819GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
1.86028s  55.477ms            (480 1 1)         (1 1 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  diffusionKernel(unsigned char const *, unsigned char*, unsigned char const *, int, int, int, int) [158]
1.92049s  816.71us                    -               -         -         -         -  2.6367MB  3.1528GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
2.04145s  836.97us                    -               -         -         -         -  2.6367MB  3.0765GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
