==11708== NVPROF is profiling process 11708, command: ./encryptApp
==11708== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==11708== Profiling application: ./encryptApp
==11708== Profiling result:
==11708== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA Tegra X1 (0)"
    Kernel: confusionKernel(unsigned char const *, unsigned char*, int, int, int, unsigned long)
          5                             sm_efficiency                                               Multiprocessor Activity      71.69%      99.99%      94.33%
          5                        achieved_occupancy                                                    Achieved Occupancy    0.976921    0.978286    0.977714
          5                                       ipc                                                          Executed IPC    0.897805    0.898538    0.898194
          5                                issued_ipc                                                            Issued IPC    0.898079    0.900375    0.898701
          5                             inst_per_warp                                                 Instructions per warp  1.2991e+03  1.2991e+03  1.2991e+03
          5                         branch_efficiency                                                     Branch Efficiency     100.00%     100.00%     100.00%
          5                 warp_execution_efficiency                                             Warp Execution Efficiency      94.30%      94.30%      94.30%
          5         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency      86.45%      86.45%      86.45%
          5                      inst_replay_overhead                                           Instruction Replay Overhead    0.000051    0.000057    0.000054
          5                    issue_slot_utilization                                                Issue Slot Utilization      21.17%      21.22%      21.18%
          5      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          5     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          5       local_load_transactions_per_request                            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          5      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          5              gst_transactions_per_request                                 Global Store Transactions Per Request   30.000000   30.000000   30.000000
          5                 shared_store_transactions                                             Shared Store Transactions           0           0           0
          5                  shared_load_transactions                                              Shared Load Transactions           0           0           0
          5                   local_load_transactions                                               Local Load Transactions           0           0           0
          5                  local_store_transactions                                              Local Store Transactions           0           0           0
          5                          gst_transactions                                             Global Store Transactions     2764800     2764800     2764800
          5                           global_hit_rate                                     Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
          5                            local_hit_rate                                                        Local Hit Rate       0.00%       0.00%       0.00%
          5                  gld_requested_throughput                                      Requested Global Load Throughput  108.27MB/s  108.92MB/s  108.75MB/s
          5                  gst_requested_throughput                                     Requested Global Store Throughput  108.27MB/s  108.92MB/s  108.75MB/s
          5                            gld_throughput                                                Global Load Throughput  1.9443GB/s  1.9559GB/s  1.9529GB/s
          5                            gst_throughput                                               Global Store Throughput  3.3834GB/s  3.4037GB/s  3.3984GB/s
          5                      tex_cache_throughput                                              Unified Cache Throughput  460.65MB/s  7.2975GB/s  1.8256GB/s
          5                     local_load_throughput                                          Local Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          5                    local_store_throughput                                         Local Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          5                    shared_load_throughput                                         Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          5                   shared_store_throughput                                        Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          5                            gld_efficiency                                         Global Memory Load Efficiency       5.44%       5.44%       5.44%
          5                            gst_efficiency                                        Global Memory Store Efficiency       3.12%       3.12%       3.12%
          5                    tex_cache_transactions                                            Unified Cache Transactions      365760     5963182     1485244
          5                         cf_fu_utilization                                Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
          5                        tex_fu_utilization                                     Texture Function Unit Utilization     Low (1)     Low (1)     Low (1)
          5                       ldst_fu_utilization                                  Load/Store Function Unit Utilization     Low (1)     Low (1)     Low (1)
          5           double_precision_fu_utilization                            Double-Precision Function Unit Utilization    Max (10)    Max (10)    Max (10)
          5                    special_fu_utilization                                     Special Function Unit Utilization     Low (1)     Low (1)     Low (1)
          5           single_precision_fu_utilization                            Single-Precision Function Unit Utilization     Low (2)     Low (2)     Low (2)
          5                             flop_count_dp                           Floating Point Operations(Double Precision)    98184960    98184960    98184960
          5                         flop_count_dp_add                       Floating Point Operations(Double Precision Add)     4147200     4147200     4147200
          5                         flop_count_dp_fma                       Floating Point Operations(Double Precision FMA)    42863040    42863040    42863040
          5                         flop_count_dp_mul                       Floating Point Operations(Double Precision Mul)     8311680     8311680     8311680
          5                             flop_count_sp                           Floating Point Operations(Single Precision)     5529600     5529600     5529600
          5                         flop_count_sp_add                       Floating Point Operations(Single Precision Add)           0           0           0
          5                         flop_count_sp_fma                       Floating Point Operations(Single Precision FMA)     2764800     2764800     2764800
          5                         flop_count_sp_mul                        Floating Point Operation(Single Precision Mul)           0           0           0
          5                     flop_count_sp_special                   Floating Point Operations(Single Precision Special)    10255680    10255680    10255680
          5                             inst_executed                                                 Instructions Executed    19953600    19953600    19953600
          5                               inst_issued                                                   Instructions Issued    19954610    19954733    19954681
          5                           tex_utilization                                             Unified Cache Utilization     Low (1)     Low (1)     Low (1)
          5                         shared_efficiency                                              Shared Memory Efficiency       0.00%       0.00%       0.00%
          5                        shared_utilization                                             Shared Memory Utilization    Idle (0)    Idle (0)    Idle (0)
          5                                inst_fp_32                                               FP Instructions(Single)    18550080    18550080    18550080
          5                                inst_fp_64                                               FP Instructions(Double)    58092480    58092480    58092480
          5                              inst_integer                                                  Integer Instructions   350422176   350422176   350422176
          5                          inst_bit_convert                                              Bit-Convert Instructions    50659200    50659200    50659200
          5                              inst_control                                             Control-Flow Instructions    12401280    12401280    12401280
          5                        inst_compute_ld_st                                               Load/Store Instructions    22118400    22118400    22118400
          5                                 inst_misc                                                     Misc Instructions    39742080    39742080    39742080
          5           inst_inter_thread_communication                                             Inter-Thread Instructions           0           0           0
          5                               issue_slots                                                           Issue Slots    18813115    18813209    18813168
          5                                 cf_issued                                      Issued Control-Flow Instructions     1141440     1141440     1141440
          5                               cf_executed                                    Executed Control-Flow Instructions     1141440     1141440     1141440
          5                               ldst_issued                                        Issued Load/Store Instructions     1422720     1422720     1422720
          5                             ldst_executed                                      Executed Load/Store Instructions      875520      875520      875520
          5                       atomic_transactions                                                   Atomic Transactions           0           0           0
          5           atomic_transactions_per_request                                       Atomic Transactions Per Request    0.000000    0.000000    0.000000
          5                inst_executed_global_loads                              Warp level instructions for global loads       92160       92160       92160
          5                 inst_executed_local_loads                               Warp level instructions for local loads           0           0           0
          5                inst_executed_shared_loads                              Warp level instructions for shared loads           0           0           0
          5               inst_executed_surface_loads                             Warp level instructions for surface loads           0           0           0
          5               inst_executed_global_stores                             Warp level instructions for global stores       92160       92160       92160
          5                inst_executed_local_stores                              Warp level instructions for local stores           0           0           0
          5               inst_executed_shared_stores                             Warp level instructions for shared stores           0           0           0
          5              inst_executed_surface_stores                            Warp level instructions for surface stores           0           0           0
          5              inst_executed_global_atomics                  Warp level instructions for global atom and atom cas           0           0           0
          5           inst_executed_global_reductions                         Warp level instructions for global reductions           0           0           0
          5             inst_executed_surface_atomics                 Warp level instructions for surface atom and atom cas           0           0           0
          5          inst_executed_surface_reductions                        Warp level instructions for surface reductions           0           0           0
          5              inst_executed_shared_atomics                  Warp level shared instructions for atom and atom CAS           0           0           0
          5                     inst_executed_tex_ops                                   Warp level instructions for texture           0           0           0
          5                      l2_global_load_bytes       Bytes read from L2 for misses in Unified Cache for global loads    50841600    50841600    50841600
          5                       l2_local_load_bytes        Bytes read from L2 for misses in Unified Cache for local loads           0           0           0
          5                     l2_surface_load_bytes      Bytes read from L2 for misses in Unified Cache for surface loads           0           0           0
          5               l2_local_global_store_bytes   Bytes written to L2 from Unified Cache for local and global stores.    88473600    88473600    88473600
          5                 l2_global_reduction_bytes          Bytes written to L2 from Unified cache for global reductions           0           0           0
          5              l2_global_atomic_store_bytes             Bytes written to L2 from Unified cache for global atomics           0           0           0
          5                    l2_surface_store_bytes            Bytes written to L2 from Unified Cache for surface stores.           0           0           0
          5                l2_surface_reduction_bytes         Bytes written to L2 from Unified Cache for surface reductions           0           0           0
          5             l2_surface_atomic_store_bytes    Bytes transferred between Unified Cache and L2 for surface atomics           0           0           0
          5                      global_load_requests              Total number of global load requests from Multiprocessor      365760      365760      365760
          5                       local_load_requests               Total number of local load requests from Multiprocessor           0           0           0
          5                     surface_load_requests             Total number of surface load requests from Multiprocessor           0           0           0
          5                     global_store_requests             Total number of global store requests from Multiprocessor      365760      365760      365760
          5                      local_store_requests              Total number of local store requests from Multiprocessor           0           0           0
          5                    surface_store_requests            Total number of surface store requests from Multiprocessor           0           0           0
          5                    global_atomic_requests            Total number of global atomic requests from Multiprocessor           0           0           0
          5                 global_reduction_requests         Total number of global reduction requests from Multiprocessor           0           0           0
          5                   surface_atomic_requests           Total number of surface atomic requests from Multiprocessor           0           0           0
          5                surface_reduction_requests        Total number of surface reduction requests from Multiprocessor           0           0           0
          5                     texture_load_requests             Total number of texture Load requests from Multiprocessor           0           0           0
